post_id,tono_consenso,tono_agreement,target_consenso,target_agreement,applied,error
4734,propositivo,2/2,ciudadania,1/2_claude,True,
4736,celebratorio,2/2,ciudadania,1/2_claude,True,
4737,celebratorio,2/2,autopromocion,2/2,True,
4747,celebratorio,2/2,tema_especifico,1/2_claude,True,
4750,celebratorio,1/2_claude,ciudadania,1/2_claude,True,
4759,celebratorio,2/2,ciudadania,1/2_claude,True,
4760,celebratorio,2/2,ciudadania,1/2_claude,True,
4761,celebratorio,2/2,tema_especifico,1/2_claude,True,
4762,celebratorio,2/2,autopromocion,2/2,True,
4763,celebratorio,1/2_claude,autopromocion,2/2,True,
4764,celebratorio,2/2,ciudadania,2/2,True,
4765,celebratorio,2/2,ciudadania,1/2_claude,True,
4766,celebratorio,2/2,ciudadania,1/2_claude,True,
4767,propositivo,2/2,ciudadania,1/2_claude,True,
4774,solidario,2/2,gobierno,2/2,True,
4777,celebratorio,2/2,autopromocion,1/2_claude,True,
4778,celebratorio,2/2,gobierno,2/2,True,
4779,celebratorio,2/2,ciudadania,2/2,True,
4780,celebratorio,2/2,ciudadania,1/2_claude,True,
4781,propositivo,2/2,ciudadania,2/2,True,
4805,celebratorio,2/2,gobierno,1/2_claude,True,
4806,celebratorio,1/2_claude,gobierno,1/2_claude,True,
4808,celebratorio,2/2,gobierno,1/2_claude,True,
4809,celebratorio,2/2,gobierno,1/2_claude,True,
4810,celebratorio,2/2,gobierno,1/2_claude,True,
4811,celebratorio,2/2,tema_especifico,1/2_claude,True,
4812,celebratorio,2/2,gobierno,2/2,True,
4813,celebratorio,2/2,tema_especifico,2/2,True,
4822,celebratorio,2/2,gobierno,2/2,True,
4834,celebratorio,2/2,gobierno,2/2,True,
4835,celebratorio,2/2,gobierno,1/2_claude,True,
4836,informativo,2/2,medios,1/2_claude,True,
4837,celebratorio,2/2,gobierno,1/2_claude,True,
4839,celebratorio,2/2,gobierno,1/2_claude,True,
4840,celebratorio,2/2,gobierno,2/2,True,
4841,celebratorio,2/2,gobierno,1/2_claude,True,
4842,celebratorio,2/2,gobierno,2/2,True,
4843,celebratorio,2/2,gobierno,1/2_claude,True,
4844,celebratorio,2/2,gobierno,1/2_claude,True,
4847,celebratorio,2/2,tema_especifico,1/2_claude,True,
