id,tono_claude,tono_gemini,tono_gemma,target_claude,target_gemini,target_gemma,intens_claude,intens_gemini,intens_gemma,pol_claude,pol_gemini,pol_gemma,err_claude,err_gemini,err_gemma,tono_agreement,target_agreement,pol_agreement,intens_bucket_agreement
IG_3642138545329726026_17861718855410453,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3735502669264799350_18045325463381143,personal,informativo,personal,dirigente_post,dirigente_post,dirigente_post,1,1,1,aprobacion,neutral,aprobacion,,,,2/3,3/3,2/3,3/3
IG_3803860272113545357_17976357209809424,elogio,personal,elogio,dirigente_post,dirigente_post,dirigente_post,1,2,2,aprobacion,aprobacion,aprobacion,,,,2/3,3/3,3/3,3/3
IG_3828405263968328250_18056458157398724,pregunta,pregunta,pregunta,dirigente_post,dirigente_post,dirigente_post,0,1,1,neutral,neutral,aprobacion,,,,3/3,3/3,2/3,2/3
IG_3841492975864320148_17950533843086325,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3852632659449958414_18183987799371610,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,1,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3859474251099511440_17864677434657041,informativo,critica,critica,institucion,dirigente_post,dirigente_post,0,-2,-2,neutral,rechazo,rechazo,,,,2/3,2/3,2/3,2/3
IG_3859474251099511440_17885517891466451,critica,critica,critica,institucion,dirigente_post,dirigente_post,-2,-2,-2,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
IG_3859474251099511440_17986748999974992,autopromocion,informativo,informativo,ciudadania,ciudadania,gobierno,1,0,1,aprobacion,neutral,aprobacion,,,,2/3,2/3,2/3,2/3
IG_3863926554967780493_18322032121266928,personal,personal,personal,dirigente_post,dirigente_post,dirigente_post,0,1,1,neutral,aprobacion,aprobacion,,,,3/3,3/3,2/3,2/3
IG_3866786064979863718_17866479906609089,critica,critica,critica,gobierno,gobierno,gobierno,-1,-2,-2,neutral,rechazo,rechazo,,,,3/3,3/3,2/3,3/3
IG_3866786064979863718_18098100671286102,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3866786064979863718_18106237537878841,critica,critica,critica,dirigente_post,gobierno,gobierno,-1,-2,-2,neutral,rechazo,rechazo,,,,3/3,2/3,2/3,3/3
IG_3869699613314075094_18113102713702495,critica,critica,critica,otros,otros,dirigente_post,-1,-2,-2,neutral,rechazo,rechazo,,,,3/3,2/3,2/3,3/3
IG_3869730475807385651_17995161773761144,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3870375015863198197_17936992953035294,personal,elogio,elogio,otros,dirigente_post,dirigente_post,0,2,2,neutral,aprobacion,aprobacion,,,,2/3,2/3,2/3,2/3
IG_3870375015863198197_18074849840646868,ataque,critica,ataque,dirigente_post,dirigente_post,dirigente_post,-3,-3,-2,rechazo,rechazo,rechazo,,,,2/3,3/3,3/3,3/3
IG_3870375015863198197_18117587644645412,critica,critica,critica,dirigente_post,dirigente_post,dirigente_post,-2,-2,-2,rechazo,rechazo,rechazo,,,,3/3,3/3,3/3,3/3
IG_3870859354006435634_18090340646270018,ataque,ataque,ataque,dirigente_post,dirigente_post,institucion,-3,-3,-3,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
IG_3871007292896786808_18094670465111136,ataque,ataque,ataque,dirigente_post,oposicion,oposicion,-3,-3,-3,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
IG_3871374971297988703_17989272206981689,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3871693069830048543_17902572180245788,critica,critica,critica,gobierno,gobierno,gobierno,-2,-2,-2,rechazo,rechazo,rechazo,,,,3/3,3/3,3/3,3/3
IG_3871778779794111050_18370125967163597,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,3,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3873233736389169609_17932375587208751,personal,personal,personal,dirigente_post,dirigente_post,ciudadania,0,1,1,neutral,neutral,neutral,,,,3/3,2/3,3/3,2/3
IG_3873734442501615268_17974821515862414,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,3,3,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3875196649438253554_17985616574971120,critica,critica,critica,institucion,dirigente_post,gobierno,-1,-1,-2,neutral,rechazo,rechazo,,,,3/3,divergence,2/3,3/3
IG_3875330953551935282_18115564627659846,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,3,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3875337371268404209_17962438611072790,critica,critica,critica,dirigente_post,dirigente_post,oposicion,-1,-1,-2,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
IG_3875377511752760072_17914701093163547,ataque,critica,critica,gobierno,dirigente_post,gobierno,-3,-2,-2,rechazo,rechazo,rechazo,,,,2/3,2/3,3/3,3/3
IG_3875377511752760072_18006235937898539,pregunta,critica,critica,gobierno,gobierno,gobierno,-1,-2,-2,neutral,rechazo,rechazo,,,,2/3,3/3,2/3,3/3
IG_3875377511752760072_18064529543358280,personal,personal,elogio,dirigente_post,dirigente_post,dirigente_post,1,1,2,aprobacion,aprobacion,aprobacion,,,,2/3,3/3,3/3,3/3
IG_3875377511752760072_18076932485179334,critica,critica,critica,gobierno,dirigente_post,dirigente_post,-2,-2,-2,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
IG_3875377511752760072_18585140782027114,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3875557808506959914_17995936025945636,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,3,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3875557808506959914_18324627997270426,personal,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,1,2,2,aprobacion,aprobacion,aprobacion,,,,2/3,3/3,3/3,3/3
IG_3876097037079381259_18046106357744007,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3876198384399536647_18067652891456154,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,1,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3876947740538675615_17993461901941769,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3877048436684554888_18128155336603764,critica,critica,informativo,dirigente_post,dirigente_post,dirigente_post,-1,-1,0,neutral,neutral,neutral,,,,2/3,3/3,3/3,2/3
IG_3877426051727712632_18102131701767141,critica,critica,critica,gobierno,gobierno,gobierno,-2,-2,-2,rechazo,rechazo,rechazo,,,,3/3,3/3,3/3,3/3
IG_3877660082045578213_17974280177862861,personal,personal,elogio,otros,dirigente_post,institucion,0,0,1,neutral,neutral,aprobacion,,,,2/3,divergence,2/3,2/3
IG_3877675364646853798_17876797089568474,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,3,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
IG_3877696995544793819_18114464236741856,elogio,elogio,elogio,dirigente_post,dirigente_post,gobierno,1,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,2/3,3/3,3/3
X_1954624696839987468,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,3,3,3,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
X_1966059837382402186,informativo,informativo,informativo,dirigente_post,dirigente_post,dirigente_post,0,0,0,neutral,neutral,neutral,,,,3/3,3/3,3/3,3/3
X_2033259969596756189,critica,critica,critica,oposicion,institucion,institucion,-2,-2,-2,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
X_2034112279931723935,ataque,ataque,ataque,dirigente_post,dirigente_post,ciudadania,-3,-3,-3,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
X_2037031927908057178,ataque,ataque,ataque,dirigente_post,dirigente_post,dirigente_post,-3,-3,-3,rechazo,rechazo,rechazo,,,,3/3,3/3,3/3,3/3
X_2037379763161940382,autopromocion,informativo,informativo,dirigente_post,dirigente_post,gobierno,1,1,1,aprobacion,aprobacion,aprobacion,,,,2/3,2/3,3/3,3/3
X_2037414821939876036,ataque,ataque,ataque,dirigente_post,gobierno,dirigente_post,-3,-3,-3,rechazo,rechazo,rechazo,,,,3/3,2/3,3/3,3/3
X_2037892363402477974,autopromocion,autopromocion,autopromocion,dirigente_post,otros,dirigente_post,1,0,2,neutral,neutral,aprobacion,,,,3/3,2/3,2/3,2/3
X_2038717965479158244,pregunta,critica,pregunta,institucion,institucion,institucion,0,-1,-1,neutral,rechazo,rechazo,,,,2/3,3/3,2/3,2/3
X_2042827763850072159,elogio,elogio,elogio,dirigente_post,dirigente_post,dirigente_post,2,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
X_2043101705630265690,personal,personal,personal,dirigente_post,dirigente_post,dirigente_post,1,1,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
X_2043431834365653363,critica,ataque,pregunta,gobierno,gobierno,dirigente_post,-1,-2,-1,rechazo,rechazo,rechazo,,,,divergence,2/3,3/3,3/3
X_2043860531543437825,autopromocion,autopromocion,autopromocion,dirigente_post,dirigente_post,dirigente_post,1,2,2,aprobacion,aprobacion,aprobacion,,,,3/3,3/3,3/3,3/3
