post_id,dirigente_id,dirigente_nombre,tono_gemini,target_gemini,sentimiento_gemini,razon_gemini,raw_response,elapsed_s
4499,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,Enfatiza una identidad política centrada en las causas ciudadanas con un tono optimista y diferenciador.,"{
  ""tono"": ""celebratorio"",
  ""target"": ""autopromocion"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Enfatiza una identidad política centrada en las causas ciudadanas con un tono optimista y diferenciador.""
}",15.19
4487,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,Promueve una visión política centrada en la ciudadanía con un tono optimista y coloquial.,"{""tono"":""celebratorio"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Promueve una visión política centrada en la ciudadanía con un tono optimista y coloquial.""}",13.71
4500,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,Presentación de perfil político mediante analogía deportiva y compromiso con la comunidad.,"{""tono"":""propositivo"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Presentación de perfil político mediante analogía deportiva y compromiso con la comunidad.""}",10.82
4498,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,Presentación de perfil y misión política mediante metáforas deportivas con un enfoque en la unidad comunitaria.,"{
""tono"": ""propositivo"",
""target"": ""autopromocion"",
""sentimiento"": ""positivo"",
""razon"": ""Presentación de perfil y misión política mediante metáforas deportivas con un enfoque en la unidad comunitaria.""
}",10.66
4490,1,Alejandro Piña Medina,critico,gobierno,negativo,Denuncia simulación gubernamental y el ocultamiento de problemas sociales tras una fachada de orden.,"{""tono"":""critico"",""target"":""gobierno"",""sentimiento"":""negativo"",""razon"":""Denuncia simulación gubernamental y el ocultamiento de problemas sociales tras una fachada de orden.""}",14.08
4501,1,Alejandro Piña Medina,celebratorio,gobierno,positivo,Utiliza narrativa de Star Wars para proyectarse como relevo generacional frente al sistema actual.,"{
  ""tono"": ""celebratorio"",
  ""target"": ""gobierno"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Utiliza narrativa de Star Wars para proyectarse como relevo generacional frente al sistema actual.""
}",14.37
4489,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,Uso de metáfora de Star Wars para posicionarse como el futuro relevo político frente al 'viejo imperio'.,"{""tono"":""propositivo"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Uso de metáfora de Star Wars para posicionarse como el futuro relevo político frente al 'viejo imperio'.""}",15.41
4502,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,Promoción de programa social infantil con mensaje de unidad y futuro.,"{""tono"":""celebratorio"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Promoción de programa social infantil con mensaje de unidad y futuro.""}",12.73
4483,1,Alejandro Piña Medina,critico,gobierno,negativo,Contrasta la propaganda gubernamental con la inseguridad y violencia percibida en Azcapotzalco.,"{
  ""tono"": ""critico"",
  ""target"": ""gobierno"",
  ""sentimiento"": ""negativo"",
  ""razon"": ""Contrasta la propaganda gubernamental con la inseguridad y violencia percibida en Azcapotzalco.""
}",10.00
4503,1,Alejandro Piña Medina,critico,gobierno,negativo,Critica el contraste entre la narrativa oficial de inauguraciones y la realidad de inseguridad en Azcapotzalco.,"{""tono"":""critico"",""target"":""gobierno"",""sentimiento"":""negativo"",""razon"":""Critica el contraste entre la narrativa oficial de inauguraciones y la realidad de inseguridad en Azcapotzalco.""}",9.93
4482,1,Alejandro Piña Medina,propositivo,tema_especifico,positivo,Conmemora la lucha histórica por derechos para impulsar la reforma de las 40 horas.,"{""tono"":""propositivo"",""target"":""tema_especifico"",""sentimiento"":""positivo"",""razon"":""Conmemora la lucha histórica por derechos para impulsar la reforma de las 40 horas.""}",9.89
4504,1,Alejandro Piña Medina,propositivo,tema_especifico,positivo,Reivindicación del 1 de mayo para proponer reformas laborales concretas como la jornada de 40 horas y salarios dignos.,"{
  ""tono"": ""propositivo"",
  ""target"": ""tema_especifico"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Reivindicación del 1 de mayo para proponer reformas laborales concretas como la jornada de 40 horas y salarios dignos.""
}",18.12
4505,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,Mensaje emotivo por el Día del Niño que proyecta valores personales y compromiso con el futuro.,"{""tono"":""celebratorio"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Mensaje emotivo por el Día del Niño que proyecta valores personales y compromiso con el futuro.""}",12.49
