post_id,dirigente_id,dirigente_nombre,tono_gemini,target_gemini,sentimiento_gemini,razon_gemini,raw_response,elapsed_s
4505,1,Alejandro Piña Medina,personal,autopromocion,positivo,Mensaje emocional centrado en la motivación personal del dirigente con motivo del Día del Niño.,"{
  ""tono"": ""personal"",
  ""target"": ""autopromocion"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Mensaje emocional centrado en la motivación personal del dirigente con motivo del Día del Niño.""
}
(node:10139) [DEP0190] DeprecationWarning: Passing args to a child process with shell option true can lead to security vulnerabilities, as the arguments are not escaped, only concatenated.
(Use `node --trace-deprecation ...` to show where the warning was created)",37.79
741,1,Alejandro Piña Medina,critico,gobierno,negativo,Señala una deuda u omisión del Estado respecto a los derechos y el tiempo de las mujeres.,"{""tono"":""critico"",""target"":""gobierno"",""sentimiento"":""negativo"",""razon"":""Señala una deuda u omisión del Estado respecto a los derechos y el tiempo de las mujeres.""}",12.89
4499,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,Uso de una metáfora relajada para resaltar la identidad del movimiento y su compromiso ciudadano.,"{""tono"":""celebratorio"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Uso de una metáfora relajada para resaltar la identidad del movimiento y su compromiso ciudadano.""}",11.37
744,1,Alejandro Piña Medina,celebratorio,ciudadania,positivo,Celebra el éxito de la presión ciudadana tras el anuncio de nuevos lineamientos de PROFECO para boleteras.,"{
  ""tono"": ""celebratorio"",
  ""target"": ""ciudadania"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Celebra el éxito de la presión ciudadana tras el anuncio de nuevos lineamientos de PROFECO para boleteras.""
}",12.32
4487,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,Reafirma la identidad del movimiento con una metáfora positiva y enfoque en causas.,"{""tono"":""celebratorio"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Reafirma la identidad del movimiento con una metáfora positiva y enfoque en causas.""}",15.26
3726,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,Promueve la capacitación y el fortalecimiento de la identidad política y los valores democráticos.,"{""tono"":""propositivo"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Promueve la capacitación y el fortalecimiento de la identidad política y los valores democráticos.""}",12.98
561,1,Alejandro Piña Medina,critico,gobierno,negativo,Crítica a la simulación legislativa y al aplazamiento de la reforma de las 40 horas por parte del oficialismo.,"{
  ""tono"": ""critico"",
  ""target"": ""gobierno"",
  ""sentimiento"": ""negativo"",
  ""razon"": ""Crítica a la simulación legislativa y al aplazamiento de la reforma de las 40 horas por parte del oficialismo.""
}",19.16
3736,1,Alejandro Piña Medina,propositivo,ciudadania,positivo,Agradece la confianza ciudadana y propone una alternativa de construcción colectiva.,"{""tono"":""propositivo"",""target"":""ciudadania"",""sentimiento"":""positivo"",""razon"":""Agradece la confianza ciudadana y propone una alternativa de construcción colectiva.""}
(node:11511) [DEP0190] DeprecationWarning: Passing args to a child process with shell option true can lead to security vulnerabilities, as the arguments are not escaped, only concatenated.
(Use `node --trace-deprecation ...` to show where the warning was created)",36.00
3758,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,Presentación de propuesta de reforma electoral enfocada en democracia y participación ciudadana.,"{""tono"":""propositivo"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Presentación de propuesta de reforma electoral enfocada en democracia y participación ciudadana.""}",11.03
557,1,Alejandro Piña Medina,ataque,gobierno,negativo,"Critica agresivamente a Morena por postergar la jornada de 40 horas, calificándolos de traidores e incongruentes frente al esfuerzo de los trabajadores.","{""tono"":""ataque"",""target"":""gobierno"",""sentimiento"":""negativo"",""razon"":""Critica agresivamente a Morena por postergar la jornada de 40 horas, calificándolos de traidores e incongruentes frente al esfuerzo de los trabajadores.""}
(node:11961) [DEP0190] DeprecationWarning: Passing args to a child process with shell option true can lead to security vulnerabilities, as the arguments are not escaped, only concatenated.
(Use `node --trace-deprecation ...` to show where the warning was created)",45.46
