post_id,dirigente_id,dirigente_nombre,plataforma,content,published_at,current_tono,current_target,current_version
4499,1,Alejandro Piña Medina,FACEBOOK,"Hasta las vacas saben elegir buena compañía y nosotros también. 😎
Por eso hacemos una política diferente: con la gente al centro y sus causas al frente!!",2026-05-07T22:16:27+00:00,celebratorio,autopromocion,claude+gemini-2way-2026-05-09
4487,1,Alejandro Piña Medina,INSTAGRAM,"Hasta las vacas saben elegir buena compañía y nosotros también. 😎
Por eso hacemos una política diferente: con la gente al centro y sus causas al frente!!",2026-05-07T22:16:07+00:00,celebratorio,autopromocion,claude+gemini-2way-2026-05-09
4500,1,Alejandro Piña Medina,FACEBOOK,"ALEJANDRO PIÑA Coordinador – Fuerza Naranja CDMX Posición: Director Técnico 
Habilidad especial: Atajar lo que no funciona.
Juego clave: Propone jugadas y motiva al equipo
Pierna hábil: Izquierda.  Debut: Las calles de Venustiano Carranza.
Misión: Defender la cancha. Que el juego sea parejo, que el balón vuelva al barrio y que nadie se quede fuera del partido.
 Cuando la comunidad juega unida, no hay gol en contra.",2026-05-06T22:37:49+00:00,,,
4498,1,Alejandro Piña Medina,INSTAGRAM,"ALEJANDRO PIÑA Coordinador – Fuerza Naranja CDMX Posición: Director Técnico 
Habilidad especial: Atajar lo que no funciona.
Juego clave: Propone jugadas y motiva al equipo
Pierna hábil: Izquierda.  Debut: Las calles de Venustiano Carranza.
Misión: Defender la cancha. Que el juego sea parejo, que el balón vuelva al barrio y que nadie se quede fuera del partido.
 Cuando la comunidad juega unida, no hay gol en contra.",2026-05-06T22:37:37+00:00,,,
4490,1,Alejandro Piña Medina,INSTAGRAM,"Para mostrar que todo está bien ante el mundo, quieren una ciudad perfecta: sin gente ni problemas!

Vaciar calles, mandar a todos a sus casas y maquillar lo urgente no es solución, es simulación.
La ciudad no es un escaparate: es de quienes la viven.",2026-05-04T23:34:42+00:00,,,
4501,1,Alejandro Piña Medina,FACEBOOK,"“Siempre en movimiento el futuro está.” — Master Yoda.

El viejo imperio ya impone su destino y la ciudad empieza a escribir el suyo. No somos la resistencia: somos los que siguen. 😎👊🏻 #maythe4th",2026-05-04T19:22:34+00:00,,,
4489,1,Alejandro Piña Medina,INSTAGRAM,"“Siempre en movimiento el futuro está.” — Master Yoda.

El viejo imperio ya impone su destino y la ciudad empieza a escribir el suyo. No somos la resistencia: somos los que siguen. 😎👊🏻 #maythe4th",2026-05-04T19:22:26+00:00,,,
4502,1,Alejandro Piña Medina,FACEBOOK,"La calle es su espacio y jugar es su derecho.
En “Infancias en Movimiento”, cada balón abre una cancha a las y los niños para disfrutar, aprender y convivir. México cree en México y el futuro empieza en cada jugada. #méxicocreeenméxico",2026-05-03T01:26:22+00:00,,,
4483,1,Alejandro Piña Medina,TWITTER,"En Azcapotzalco, el gobierno corta listones y la gente vive con miedo. Dos realidades en la misma alcaldía: el discurso que presume y la violencia que roba vidas.
La violencia no se esconde con propaganda. Además de inauguraciones, la ciudad necesita justicia, necesita paz, https://t.co/v2RVEfPd3D",2026-05-02T01:17:16+00:00,,,
4503,1,Alejandro Piña Medina,FACEBOOK,"En Azcapotzalco, el gobierno corta listones y la gente vive con miedo. Dos realidades en la misma alcaldía: el discurso que presume y la violencia que roba vidas.
La violencia no se esconde con propaganda. Además de inauguraciones, la ciudad necesita justicia, necesita paz, necesita verdad.",2026-05-02T01:14:13+00:00,,,
4482,1,Alejandro Piña Medina,TWITTER,"1º de mayo: ¿por qué importa?
* Nace en 1886 (Chicago): trabajadores exigieron jornada de 8 horas
* Antes se trabajaba hasta 16 horas diarias
* Es símbolo de que los derechos laborales se conquistan

Hace más de un siglo, se conquistaron 8 horas.
Hoy toca avanzar
* 40 horas ya
*",2026-05-01T17:55:23+00:00,,,
4504,1,Alejandro Piña Medina,FACEBOOK,"1º de mayo: ¿por qué importa?
* Nace en 1886 (Chicago): trabajadores exigieron jornada de 8 horas
* Antes se trabajaba hasta 16 horas diarias
* Es símbolo de que los derechos laborales se conquistan

Hace más de un siglo, se conquistaron 8 horas.
Hoy toca avanzar
* 40 horas ya
* 2 días de descanso
* Salario digno

Nadie es solo trabajador: somos personas con proyectos y derecho a vivir con equilibrio.
Y vivir bien exige tiempo, descanso y un salario digno.",2026-05-01T17:53:44+00:00,,,
4505,1,Alejandro Piña Medina,FACEBOOK,"Su sonrisa es mi motor! 
En sus ojos veo el futuro que quiero defender todos los días.
Por sus sueños, por lo que me enseñan cada día, no hay espacio para rendirse.
Todo lo que hago, empieza y termina en ell@s.
Feliz Día de la Niña y el Niño.",2026-05-01T02:28:36+00:00,personal,tema_especifico,claude+gemini-2way-2026-05-09
4485,1,Alejandro Piña Medina,INSTAGRAM,"Su sonrisa es mi motor! 
En sus ojos veo el futuro que quiero defender todos los días.
Por sus sueños, por lo que me enseñan cada día, no hay espacio para rendirse.
Todo lo que hago, empieza y termina en ell@s.
Feliz Día de la Niña y el Niño.",2026-05-01T02:28:15+00:00,,,
4506,1,Alejandro Piña Medina,FACEBOOK,"Entrar a la Línea 2 del Metro se ha vuelto una experiencia de terror: escombros, penumbras y rutas improvisadas donde la gente avanza como puede. 

Mientras se maquilla la ciudad a marchas forzadas por el gran evento de fútbol, lo cotidiano se desmorona sin pausa y la ciudadanía termina pagando la factura. #metro #metrocdmx",2026-04-30T01:56:26+00:00,,,
4492,1,Alejandro Piña Medina,INSTAGRAM,"Entrar a la Línea 2 del Metro se ha vuelto una experiencia de terror: escombros, penumbras y rutas improvisadas donde la gente avanza como puede. 

Mientras se maquilla la ciudad a marchas forzadas por el gran evento de fútbol, lo cotidiano se desmorona sin pausa y la ciudadanía termina pagando la factura. #metro #metrocdmx",2026-04-30T01:56:11+00:00,,,
4481,1,Alejandro Piña Medina,TWITTER,"El homicidio de una familia en la alcaldía de Azcapotzalco nos sacude y nos obliga a mirar de frente lo que está pasando: la violencia ya no es un hecho aislado, es una amenaza que golpea a quienes solo buscan ganarse la vida de forma honesta.
No podemos permitir que la extorsión https://t.co/uwjqxURpMk",2026-04-29T15:51:01+00:00,,,
4507,1,Alejandro Piña Medina,FACEBOOK,"El homicidio de una familia en la alcaldía de Azcapotzalco nos sacude y nos obliga a mirar de frente lo que está pasando: la violencia ya no es un hecho aislado, es una amenaza que golpea a quienes solo buscan ganarse la vida de forma honesta.
No podemos permitir que la extorsión y el miedo se conviertan en regla. La ciudad no puede normalizar que trabajar tenga un costo de vida o muerte.
La exigencia es clara: justicia, protección y un alto a la impunidad!!",2026-04-29T15:50:35+00:00,,,
4508,1,Alejandro Piña Medina,FACEBOOK,"Cuando el Metro falla, no solo se retrasa un tren: se detiene la vida de millones. 

En mi columna en Publimetro, hablo de cómo la improvisación, la falta de inversión oportuna y las decisiones equivocadas  llevan al límite a la Ciudad de México.
No es normal vivir así. Y tampoco debería aceptarse como inevitable.

Léela y comparte. 

https://www.publimetro.com.mx/opinion/2026/04/21/un-metro-que-colapsa-una-ciudad-que-se-detiene/",2026-04-27T14:30:20+00:00,,,
4488,1,Alejandro Piña Medina,INSTAGRAM,"Cuando el Metro falla, no solo se retrasa un tren: se detiene la vida de millones. 

En mi columna en Publimetro, hablo de cómo la improvisación, la falta de inversión oportuna y las decisiones equivocadas  llevan al límite a la Ciudad de México.
No es normal vivir así. Y tampoco debería aceptarse como inevitable.

Léela y comparte.",2026-04-27T14:30:07+00:00,critico,gobierno,claude+gemini-2way-2026-05-09
4523,2,Rafael Solano Pérez,TWITTER,Pues ojalá que les vaya bien. En verdad que han vivido unas condiciones terribles. Que tengan ese espacio que tanto les hace falta.,2026-05-03T02:02:04+00:00,solidario,ciudadania,claude+gemini-2way-2026-05-09
4522,2,Rafael Solano Pérez,TWITTER,@amsocmx @lrubin Saludos @lrubin ¡éxito!,2026-04-29T05:37:28+00:00,,,
4521,2,Rafael Solano Pérez,TWITTER,"Hay quien quiere ver a Mamdani como la gran revelación, la realidad es que el anterior alcalde ganó con 40% de diferencia, el solo con 9%. Su administración será complicada.",2026-04-29T05:12:49+00:00,,,
4520,2,Rafael Solano Pérez,TWITTER,"Estábamos en University Club, de repente los funcionarios de la embajada salieron y el lugar quedó vacío. Sorprendió a todos. 

Trump en territorio y comunicación directa, vs  Hillary inflada por la comentocracia. Predecible, solo no lo quisieron ver.  https://t.co/lKZMKF2L3i",2026-04-29T05:06:24+00:00,,,
4519,2,Rafael Solano Pérez,TWITTER,En general esto aplica para todas las organizaciones. Pero es un gran ejemplo.  https://t.co/tlrSLuRiyO,2026-04-28T04:26:49+00:00,,,
4518,2,Rafael Solano Pérez,TWITTER,@Luisfecalderonz @JaimeCCS ¡Extraordinaria foto! Saludos.,2026-04-27T21:29:53+00:00,,,
4517,2,Rafael Solano Pérez,TWITTER,No te pierdas mi columna #DeLibertadYResponsabilidad,2026-04-25T17:01:36+00:00,,,
4516,2,Rafael Solano Pérez,TWITTER,Lo más razonable. De lo contrario será una elección complicada para la autoridad.,2026-04-22T14:49:12+00:00,informativo,tema_especifico,claude+gemini-2way-2026-05-09
4515,2,Rafael Solano Pérez,TWITTER,Un triste llamado de atención para entender que el mundial en México es una prueba superior de Seguridad.,2026-04-21T02:54:33+00:00,critico,tema_especifico,claude+gemini-2way-2026-05-09
