post_id,tono_consenso,tono_agreement,target_consenso,target_agreement,applied,error
545,informativo,1/2_claude,autopromocion,1/2_claude,True,
557,ataque,2/2,gobierno,2/2,True,
561,critico,2/2,gobierno,2/2,True,
733,propositivo,2/2,tema_especifico,2/2,True,
741,informativo,1/2_claude,autopromocion,1/2_claude,True,
744,celebratorio,2/2,ciudadania,2/2,True,
833,informativo,2/2,tema_especifico,2/2,True,
852,celebratorio,2/2,tema_especifico,1/2_claude,True,
856,critico,2/2,gobierno,2/2,True,
868,critico,2/2,gobierno,2/2,True,
875,informativo,1/2_claude,gobierno,2/2,True,
878,informativo,2/2,tema_especifico,2/2,True,
882,solidario,2/2,ciudadania,1/2_claude,True,
883,critico,2/2,gobierno,2/2,True,
889,personal,1/2_claude,tema_especifico,2/2,True,
890,personal,2/2,tema_especifico,1/2_claude,True,
891,personal,1/2_claude,tema_especifico,2/2,True,
892,personal,1/2_claude,tema_especifico,2/2,True,
898,personal,1/2_claude,tema_especifico,2/2,True,
903,informativo,1/2_claude,tema_especifico,2/2,True,
912,propositivo,1/2_claude,tema_especifico,1/2_claude,True,
918,propositivo,2/2,autopromocion,1/2_claude,True,
919,critico,2/2,oposicion,2/2,True,
3720,personal,1/2_claude,autopromocion,2/2,True,
3726,informativo,1/2_claude,autopromocion,2/2,True,
3733,critico,2/2,gobierno,2/2,True,
3736,propositivo,2/2,autopromocion,1/2_claude,True,
3740,propositivo,1/2_claude,gobierno,2/2,True,
3742,celebratorio,1/2_claude,ciudadania,2/2,True,
3758,propositivo,2/2,autopromocion,2/2,True,
3948,critico,2/2,gobierno,2/2,True,
4041,propositivo,2/2,tema_especifico,2/2,True,
4077,ataque,1/2_claude,gobierno,2/2,True,
4204,critico,2/2,gobierno,2/2,True,
4225,critico,2/2,gobierno,2/2,True,
4227,celebratorio,2/2,autopromocion,2/2,True,
4228,propositivo,1/2_claude,ciudadania,1/2_claude,True,
4242,celebratorio,2/2,autopromocion,1/2_claude,True,
4243,informativo,1/2_claude,gobierno,1/2_claude,True,
4255,ataque,claude_only,gobierno,claude_only,True,
4301,critico,2/2,gobierno,2/2,True,
4304,critico,2/2,gobierno,2/2,True,
4305,critico,1/2_claude,gobierno,1/2_claude,True,
4340,propositivo,1/2_claude,autopromocion,1/2_claude,True,
4385,ataque,1/2_claude,gobierno,1/2_claude,True,
4395,propositivo,2/2,tema_especifico,1/2_claude,True,
4426,critico,2/2,gobierno,2/2,True,
4427,personal,1/2_claude,tema_especifico,1/2_claude,True,
4452,critico,2/2,gobierno,2/2,True,
4459,ataque,2/2,gobierno,2/2,True,
4474,propositivo,2/2,tema_especifico,2/2,True,
4484,celebratorio,2/2,autopromocion,2/2,True,
4487,celebratorio,2/2,autopromocion,2/2,True,
4488,critico,2/2,gobierno,2/2,True,
4499,celebratorio,2/2,autopromocion,2/2,True,
4505,personal,2/2,tema_especifico,1/2_claude,True,
4515,critico,2/2,tema_especifico,2/2,True,
4516,informativo,1/2_claude,tema_especifico,1/2_claude,True,
4523,solidario,2/2,ciudadania,2/2,True,
4888,ataque,2/2,gobierno,1/2_claude,True,
