post_id,dirigente_id,dirigente_nombre,tono_claude,target_claude,sentimiento_claude,razon_claude
4505,1,Alejandro Piña Medina,personal,tema_especifico,positivo,"Mensaje familiar por Día de la Niña y el Niño, sin posicionamiento político"
741,1,Alejandro Piña Medina,informativo,autopromocion,neutro,"RT autopromoviendo su columna en Publimetro sobre horas adeudadas a mujeres"
4499,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,"Autopromoción ligera con tono cálido sobre 'política diferente'"
744,1,Alejandro Piña Medina,celebratorio,ciudadania,positivo,"Celebra logro de presión ciudadana sobre Profeco/boleteras"
4487,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,"Cross-post IG: política diferente con la gente al centro"
3726,1,Alejandro Piña Medina,informativo,autopromocion,positivo,"Anuncia taller de democracia en MC, sin atacar"
561,1,Alejandro Piña Medina,critico,gobierno,negativo,"Crítica a oficialismo por aprobar 40 horas hasta 2030 con un día descanso"
3736,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,"Plantea alternativa cercana para Venustiano Carranza"
3758,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,"Propuesta MC reforma electoral 'más democracia menos gasto'"
557,1,Alejandro Piña Medina,ataque,gobierno,negativo,"Lenguaje fuerte: 'Morena traicionó', 'legisladores duermen', 'inventan puentes'"
3733,1,Alejandro Piña Medina,critico,gobierno,negativo,"Crítica con datos sobre extorsión que creció 221%"
3742,1,Alejandro Piña Medina,celebratorio,ciudadania,positivo,"Mensaje cálido sobre amor, cuidados y comunidad"
733,1,Alejandro Piña Medina,propositivo,tema_especifico,positivo,"Propone democratizar acceso al deporte, columna Publimetro"
4340,1,Alejandro Piña Medina,propositivo,autopromocion,positivo,"Trabajo territorial con delegadas/os para tejer lazos"
3720,1,Alejandro Piña Medina,personal,autopromocion,positivo,"Mensaje corto promocional sobre Venustiano Carranza"
545,1,Alejandro Piña Medina,informativo,autopromocion,positivo,"Anuncia visita de Maynez a UP Mixcoac"
3740,1,Alejandro Piña Medina,propositivo,gobierno,negativo,"Conmemora Día Cáncer Infantil exigiendo presupuesto"
4488,1,Alejandro Piña Medina,critico,gobierno,negativo,"Crítica al manejo del Metro: improvisación falta inversión decisiones equivocadas"
3948,1,Alejandro Piña Medina,critico,gobierno,negativo,"Crítica al Estado por no proteger a quien denuncia extorsión"
4484,1,Alejandro Piña Medina,celebratorio,autopromocion,positivo,"Comisión Permanente MC: otra forma de hacer política"
890,2,Rafael Solano Pérez,personal,tema_especifico,neutro,"RT turístico Tokyo, sin contenido político"
4515,2,Rafael Solano Pérez,critico,tema_especifico,negativo,"Llamado de atención sobre seguridad rumbo al Mundial"
875,2,Rafael Solano Pérez,informativo,gobierno,neutro,"Análisis sobre discurso de Monreal y consenso interno Morena"
889,2,Rafael Solano Pérez,personal,tema_especifico,positivo,"RT sobre ballena albina en BCS, contenido no político"
918,2,Rafael Solano Pérez,propositivo,autopromocion,positivo,"MC propone blindaje para elecciones (autopromoción legislativa)"
892,2,Rafael Solano Pérez,personal,tema_especifico,positivo,"RT sobre goleadores Liga MX (deporte)"
891,2,Rafael Solano Pérez,personal,tema_especifico,positivo,"Comentario corto sobre jersey de México"
